epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,4273.02,0.38242,0.2839,0.89096,0.82005,0.82875,0.85428,0.48412,1.52631,0.68647,1.4913,0.00352037,0.00352037,0.00352037
92,4314.74,0.39179,0.28709,0.89183,0.82968,0.82689,0.86059,0.49214,1.50359,0.68853,1.45295,0.00342211,0.00342211,0.00342211
93,4357.15,0.36905,0.2728,0.88075,0.81818,0.83662,0.85586,0.49193,1.49326,0.67811,1.47631,0.00332457,0.00332457,0.00332457
94,4399.67,0.37436,0.27462,0.88756,0.81373,0.84963,0.86154,0.49115,1.51164,0.6895,1.47561,0.00322778,0.00322778,0.00322778
95,4441.92,0.38042,0.27828,0.88643,0.78027,0.85423,0.84989,0.48246,1.5181,0.70316,1.46702,0.0031318,0.0031318,0.0031318
96,4485.57,0.37707,0.27504,0.88853,0.81334,0.85478,0.87533,0.50322,1.49214,0.67822,1.44486,0.00303665,0.00303665,0.00303665
97,4527.93,0.36273,0.26802,0.8796,0.8223,0.82142,0.85922,0.48869,1.5359,0.70498,1.47493,0.00294239,0.00294239,0.00294239
98,4570.62,0.36026,0.26518,0.87625,0.83978,0.81383,0.86384,0.4982,1.507,0.68194,1.44595,0.00284906,0.00284906,0.00284906
99,4613.35,0.35893,0.26367,0.88055,0.81693,0.84936,0.86627,0.5014,1.48893,0.68797,1.44311,0.00275668,0.00275668,0.00275668
100,4655.3,0.35323,0.26276,0.88053,0.80467,0.85123,0.86116,0.48633,1.53024,0.71991,1.47514,0.00266532,0.00266532,0.00266532
101,4696.93,0.3571,0.26291,0.87949,0.82535,0.82957,0.86516,0.49645,1.4986,0.70093,1.45315,0.002575,0.002575,0.002575
102,4740.19,0.35499,0.25887,0.87968,0.82733,0.82468,0.87058,0.49889,1.49194,0.69028,1.45188,0.00248577,0.00248577,0.00248577
103,4781.73,0.34173,0.25611,0.87237,0.81427,0.84492,0.86797,0.49881,1.50079,0.68112,1.4563,0.00239766,0.00239766,0.00239766
104,4824.16,0.34435,0.26025,0.87877,0.83667,0.8477,0.87133,0.50365,1.5025,0.66635,1.45995,0.00231071,0.00231071,0.00231071
105,4867.5,0.34065,0.25461,0.87552,0.81595,0.85153,0.87035,0.50676,1.48805,0.66555,1.45498,0.00222497,0.00222497,0.00222497
106,4910.75,0.3485,0.25533,0.87851,0.8223,0.86614,0.87852,0.50869,1.49185,0.65232,1.45927,0.00214046,0.00214046,0.00214046
107,4953.18,0.33756,0.24932,0.87714,0.80512,0.862,0.87032,0.50099,1.50028,0.65679,1.46236,0.00205723,0.00205723,0.00205723
108,4997.61,0.34541,0.2521,0.87551,0.83059,0.85403,0.87285,0.50126,1.49991,0.65678,1.46418,0.00197532,0.00197532,0.00197532
109,5041.23,0.34108,0.25208,0.87975,0.82505,0.85483,0.88212,0.503,1.49472,0.65626,1.46544,0.00189475,0.00189475,0.00189475
110,5083.55,0.33488,0.24876,0.87645,0.80746,0.85031,0.87426,0.50133,1.49925,0.66669,1.47456,0.00181557,0.00181557,0.00181557
111,5126.18,0.33225,0.24533,0.87254,0.80673,0.85462,0.87721,0.50493,1.49301,0.65992,1.46009,0.0017378,0.0017378,0.0017378
