epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,6501.22,0.62214,0.47198,1.01081,0.73599,0.78198,0.79487,0.43298,1.58035,0.945,1.69426,0.00240332,0.00240332,0.00240332
55,6584.8,0.62025,0.46823,1.00433,0.77353,0.7746,0.81228,0.42284,1.5908,0.89335,1.68584,0.0023823,0.0023823,0.0023823
56,6672.15,0.62528,0.48001,1.00911,0.72639,0.76946,0.78663,0.42109,1.61083,0.98679,1.70311,0.002361,0.002361,0.002361
57,6786.2,0.61024,0.46414,1.00331,0.75044,0.77914,0.80003,0.42726,1.59399,0.90028,1.67471,0.00233945,0.00233945,0.00233945
58,6898.54,0.60244,0.46009,1.00445,0.77801,0.78242,0.81343,0.43746,1.58023,0.912,1.65067,0.00231764,0.00231764,0.00231764
59,7275.35,0.60621,0.46151,0.99341,0.72557,0.79715,0.79656,0.42037,1.63925,0.96005,1.71572,0.00229558,0.00229558,0.00229558
60,7387.41,0.59016,0.44629,0.9925,0.78232,0.75484,0.80331,0.43143,1.59275,0.88721,1.69402,0.00227328,0.00227328,0.00227328
61,7473.79,0.59916,0.45758,0.99609,0.75811,0.76084,0.80291,0.42204,1.66354,0.93565,1.75158,0.00225075,0.00225075,0.00225075
62,7604.78,0.61315,0.45812,1.0082,0.7902,0.74442,0.79792,0.42999,1.60127,0.90187,1.67881,0.00222799,0.00222799,0.00222799
63,7692.65,0.59006,0.44578,0.99327,0.77366,0.76595,0.81473,0.43247,1.59105,0.94761,1.71994,0.002205,0.002205,0.002205
64,7781.21,0.58704,0.44163,0.99321,0.77381,0.75961,0.80568,0.43739,1.59137,0.85897,1.68631,0.0021818,0.0021818,0.0021818
65,7863.39,0.59345,0.45045,0.99685,0.73753,0.80822,0.81045,0.43932,1.58932,0.87915,1.66889,0.0021584,0.0021584,0.0021584
66,7959.64,0.57002,0.43421,0.98545,0.76371,0.78618,0.81077,0.43418,1.58055,0.86907,1.66783,0.00213479,0.00213479,0.00213479
67,8032.14,0.56569,0.42111,0.97971,0.75373,0.79623,0.8144,0.44366,1.59489,0.90886,1.6847,0.00211099,0.00211099,0.00211099
68,8103.23,0.562,0.43084,0.98262,0.78093,0.78783,0.80886,0.42733,1.58144,0.9127,1.64428,0.00208701,0.00208701,0.00208701
69,8211.34,0.58109,0.43706,0.98628,0.75655,0.77584,0.79743,0.43243,1.59105,0.8668,1.69649,0.00206285,0.00206285,0.00206285
70,8299.42,0.57075,0.42826,0.98621,0.78874,0.79399,0.81536,0.44501,1.56982,0.86099,1.66921,0.00203851,0.00203851,0.00203851
71,8406.27,0.5743,0.43169,0.98429,0.76928,0.79218,0.82143,0.44386,1.58836,0.85412,1.66937,0.00201402,0.00201402,0.00201402
72,8502.96,0.56998,0.42246,0.97625,0.77193,0.76997,0.81022,0.4428,1.57676,0.86262,1.65735,0.00198936,0.00198936,0.00198936
73,8595.63,0.55361,0.41384,0.96987,0.76809,0.78439,0.81624,0.44565,1.5533,0.84863,1.65333,0.00196456,0.00196456,0.00196456
74,8725.01,0.56175,0.43594,0.98886,0.76804,0.75821,0.79689,0.43252,1.5699,0.91011,1.68046,0.00193962,0.00193962,0.00193962
75,8800.17,0.57245,0.42807,0.9894,0.73955,0.80819,0.80449,0.43359,1.57469,0.84583,1.69113,0.00191454,0.00191454,0.00191454
76,8869.94,0.54453,0.4097,0.97294,0.78006,0.77863,0.82043,0.45489,1.55987,0.84053,1.6044,0.00188934,0.00188934,0.00188934
77,8945.32,0.54917,0.41831,0.97947,0.79625,0.75708,0.81547,0.43748,1.58388,0.8271,1.65067,0.00186402,0.00186402,0.00186402
78,9079.62,0.55641,0.41525,0.97789,0.7832,0.77123,0.81719,0.44943,1.56967,0.85164,1.65096,0.00183859,0.00183859,0.00183859
79,9158.93,0.55078,0.41314,0.96812,0.78495,0.79818,0.82064,0.45127,1.53349,0.82801,1.59579,0.00181306,0.00181306,0.00181306
80,9237.07,0.5339,0.4035,0.97491,0.7537,0.79287,0.82546,0.45265,1.55422,0.82689,1.62117,0.00178743,0.00178743,0.00178743
81,9339.96,0.53228,0.40459,0.97217,0.77587,0.78464,0.82615,0.45154,1.55443,0.83675,1.6239,0.00176171,0.00176171,0.00176171
82,9427.36,0.53159,0.40074,0.97454,0.7705,0.80481,0.82483,0.44763,1.53765,0.82456,1.5802,0.00173592,0.00173592,0.00173592
83,9513.53,0.53323,0.40279,0.96609,0.78463,0.81457,0.84162,0.46427,1.53721,0.84288,1.61698,0.00171005,0.00171005,0.00171005
84,9624.06,0.52019,0.3902,0.96197,0.81194,0.78239,0.83248,0.46321,1.55954,0.81052,1.60631,0.00168412,0.00168412,0.00168412
85,9707.72,0.5159,0.38957,0.96047,0.77658,0.79838,0.82694,0.45881,1.53649,0.82017,1.64165,0.00165814,0.00165814,0.00165814
86,9792.04,0.52601,0.40019,0.97148,0.8089,0.79007,0.84267,0.4624,1.54123,0.82423,1.64289,0.0016321,0.0016321,0.0016321
87,9859.07,0.50711,0.38227,0.95591,0.77656,0.82773,0.83218,0.46258,1.54092,0.82233,1.62288,0.00160603,0.00160603,0.00160603
88,9959.66,0.52366,0.39098,0.97053,0.76523,0.81173,0.83193,0.46632,1.52928,0.79514,1.6188,0.00157993,0.00157993,0.00157993
89,10237.5,0.51484,0.38702,0.9592,0.77797,0.81272,0.83907,0.46206,1.52447,0.79257,1.60807,0.0015538,0.0015538,0.0015538
90,10312.7,0.50565,0.38105,0.96101,0.79734,0.80005,0.84049,0.47098,1.53374,0.79134,1.62808,0.00152765,0.00152765,0.00152765
91,10411.8,0.49616,0.38319,0.95933,0.77553,0.80532,0.84072,0.46532,1.5424,0.80026,1.61513,0.0015015,0.0015015,0.0015015
92,10506.5,0.5056,0.38175,0.9591,0.77879,0.79613,0.83354,0.4655,1.55079,0.81337,1.63545,0.00147535,0.00147535,0.00147535
93,10581.4,0.49338,0.37042,0.95005,0.77956,0.79526,0.82982,0.46196,1.53605,0.79353,1.60254,0.0014492,0.0014492,0.0014492
94,10684.3,0.49754,0.37817,0.95159,0.77863,0.79771,0.82731,0.46068,1.54053,0.77887,1.61803,0.00142307,0.00142307,0.00142307
95,10792.9,0.49931,0.37829,0.95757,0.81481,0.76987,0.83803,0.46982,1.5145,0.80631,1.60207,0.00139697,0.00139697,0.00139697
96,10906.2,0.48771,0.36127,0.94958,0.77967,0.82592,0.85276,0.47684,1.52942,0.79202,1.58162,0.0013709,0.0013709,0.0013709
