epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,1778.52,0.97748,0.96886,1.11687,0.46771,0.74437,0.49044,0.29226,1.22694,1.24652,1.3209,0.00040505,0.00040505,0.00040505
86,1799.21,0.97041,0.95917,1.10344,0.45187,0.75178,0.48054,0.28762,1.23832,1.34231,1.343,0.000399051,0.000399051,0.000399051
87,1819.88,0.95898,0.95138,1.10123,0.46076,0.7541,0.48158,0.28926,1.21824,1.24675,1.32456,0.000393052,0.000393052,0.000393052
88,1840.73,0.96507,0.9631,1.10155,0.46463,0.72941,0.47644,0.28753,1.21392,1.32798,1.32111,0.000387052,0.000387052,0.000387052
89,1861.55,0.96262,0.95423,1.10511,0.46786,0.72869,0.49009,0.29526,1.22053,1.2373,1.32102,0.000381053,0.000381053,0.000381053
90,1882.21,0.95016,0.9562,1.09984,0.44836,0.73556,0.47326,0.28648,1.23186,1.3344,1.33304,0.000375053,0.000375053,0.000375053
91,1903.17,0.94701,0.93773,1.09716,0.46693,0.75247,0.48753,0.28792,1.22099,1.25709,1.32764,0.000369054,0.000369054,0.000369054
92,1924.22,0.952,0.9449,1.09621,0.45785,0.72851,0.47244,0.28442,1.22029,1.2985,1.32548,0.000363055,0.000363055,0.000363055
93,1945.2,0.93646,0.93457,1.08452,0.4623,0.74322,0.48002,0.28913,1.212,1.26953,1.31509,0.000357055,0.000357055,0.000357055
94,1966.29,0.94416,0.94779,1.09372,0.45501,0.72895,0.47591,0.28707,1.20708,1.30741,1.31434,0.000351056,0.000351056,0.000351056
95,1987.26,0.94718,0.94258,1.09634,0.45218,0.73617,0.46667,0.28114,1.21251,1.32846,1.32394,0.000345056,0.000345056,0.000345056
96,2008.15,0.93822,0.93644,1.09335,0.45348,0.7292,0.4746,0.28669,1.21426,1.3658,1.32037,0.000339057,0.000339057,0.000339057
97,2029.07,0.9362,0.93166,1.09427,0.45651,0.72903,0.46975,0.2844,1.2111,1.35511,1.32688,0.000333058,0.000333058,0.000333058
98,2049.88,0.92481,0.92557,1.09124,0.444,0.72477,0.46465,0.2807,1.21949,1.43477,1.33501,0.000327058,0.000327058,0.000327058
99,2070.64,0.92079,0.92011,1.08359,0.45387,0.73169,0.47153,0.28422,1.20578,1.36648,1.31281,0.000321059,0.000321059,0.000321059
100,2091.25,0.92927,0.92176,1.08414,0.45171,0.73234,0.46343,0.27987,1.21395,1.43405,1.32722,0.000315059,0.000315059,0.000315059
101,2112,0.91397,0.92816,1.07752,0.45325,0.73183,0.47465,0.28708,1.21338,1.40534,1.3277,0.00030906,0.00030906,0.00030906
102,2132.76,0.91412,0.91948,1.08309,0.44754,0.72117,0.46218,0.27816,1.21889,1.45624,1.33401,0.000303061,0.000303061,0.000303061
103,2153.67,0.91922,0.92776,1.07744,0.44858,0.74732,0.47158,0.28649,1.20877,1.36762,1.33738,0.000297061,0.000297061,0.000297061
104,2174.58,0.91859,0.92666,1.08175,0.44813,0.73724,0.47381,0.28843,1.20942,1.33821,1.32241,0.000291062,0.000291062,0.000291062
105,2195.17,0.90067,0.90629,1.07943,0.44373,0.72572,0.46418,0.28128,1.20472,1.37457,1.31845,0.000285062,0.000285062,0.000285062
106,2216.06,0.89906,0.90543,1.074,0.44843,0.72428,0.46898,0.28379,1.20769,1.42018,1.32301,0.000279063,0.000279063,0.000279063
107,2236.88,0.90519,0.91164,1.07096,0.44653,0.71356,0.46143,0.27852,1.21076,1.47853,1.32908,0.000273064,0.000273064,0.000273064
108,2257.78,0.90478,0.90319,1.07565,0.45037,0.72113,0.47131,0.28437,1.2025,1.45769,1.32994,0.000267064,0.000267064,0.000267064
109,2278.67,0.89725,0.90425,1.06637,0.43947,0.73384,0.46235,0.27919,1.2121,1.44101,1.34052,0.000261065,0.000261065,0.000261065
110,2299.51,0.89598,0.90824,1.06726,0.43918,0.73778,0.46663,0.27904,1.19912,1.45578,1.32927,0.000255065,0.000255065,0.000255065
111,2320.28,0.89463,0.90262,1.07107,0.44194,0.71982,0.46359,0.28086,1.2012,1.44806,1.32427,0.000249066,0.000249066,0.000249066
112,2341.16,0.89002,0.9003,1.06789,0.43246,0.70002,0.45873,0.27556,1.21444,1.52037,1.33402,0.000243067,0.000243067,0.000243067
113,2362.03,0.88199,0.89209,1.06264,0.44701,0.71369,0.47172,0.2842,1.2148,1.47465,1.3412,0.000237067,0.000237067,0.000237067
114,2382.92,0.88013,0.9017,1.06016,0.44309,0.71556,0.46446,0.28076,1.21431,1.51271,1.33876,0.000231068,0.000231068,0.000231068
115,2403.97,0.87723,0.89155,1.0606,0.43991,0.70136,0.45854,0.27755,1.20694,1.52114,1.33934,0.000225068,0.000225068,0.000225068
116,2424.69,0.87484,0.89469,1.06153,0.43787,0.71233,0.45756,0.27471,1.20735,1.48219,1.33329,0.000219069,0.000219069,0.000219069
